Time,Castle,Inhabitant,Remarks
21:58,Wurzburgk,Synergy II,WINNER
19:58,Skoegul,Fatality-,OWNER
20:18,Skoegul,Ethereal Royale,
20:21,Skoegul,Fatality-,
21:03,Skoegul,Immanent Regalia,
21:58,Skoegul,Fatality-,WINNER
19:58,Rothenburg,DarkEmpire IV,OWNER
20:54,Rothenburg,Imperial Regalia,
20:57,Rothenburg,DarkEmpire III,
21:06,Rothenburg,Imperial Regalia,
21:58,Rothenburg,DarkEmpireII,WINNER
19:58,Nuernberg,Atlas,OWNER
20:05,Nuernberg,Ethereal Royale,
20:12,Nuernberg,Vice,
21:58,Nuernberg,Atlas,WINNER
19:58,Kriemhild,CeruleanV,OWNER
21:00,Kriemhild,Imperial Regalia,
21:58,Kriemhild,CeruleanV,WINNER
19:59,Melcedez,~.Just.a.Game.~,OWNER
21:50,Melcedez,Atlas,
21:59,Melcedez,Ethereal Order,WINNER
19:58,Hohenschwangau, Oops` ,OWNER
,,,
